ID,名刺画像ファイル名（表）,名刺画像ファイル名（裏）,回答日時,Q1.弊社ブースにお立ち寄り頂いた目的をお選びください（複数選択可）,Q2.導入を予定されている時期をお選びください,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入のコスト］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［維持管理のコスト］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入までのスピード］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入による業務効率化］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［他システムとの連携］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［アフターフォロー］,Q4.弊社からご案内する希望の情報をお選びください（複数選択可）,Q5.その他、ご意見・ご要望があれば、ご記入ください
00000202,0000000582_00000202_1.jpg,,2026-06-16 16:26:41,製品Aの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,非常に重要視している,非常に重要視している,重要視している,あまり重要としていない,あまり重要としていない,営業担当からの説明・ご提案、お見積り,予算取りの参考にしたいので概算見積りをお願いします。
00000203,0000000582_00000203_1.jpg,0000000582_00000203_2.jpg,2026-06-16 16:28:11,製品Aの導入を検討、製品Bの導入を検討、情報収集,1年以内,非常に重要視している,非常に重要視している,あまり重要としていない,重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案,
00000204,0000000582_00000204_1.jpg,0000000582_00000204_2.jpg,2026-06-16 16:35:33,製品Bの導入を検討、情報収集,検討中だが時期未定,重要視している,非常に重要視している,確認・比較はしている,重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案,サポート窓口の受付時間を教えてください。
00000205,0000000582_00000205_1.jpg,0000000582_00000205_2.jpg,2026-06-16 16:35:52,製品Bの導入を検討、製品Cの導入を検討、その他,1年以内,確認・比較はしている,非常に重要視している,重要視している,非常に重要視している,非常に重要視している,あまり重要としていない,営業担当からの説明・ご提案,特になし
00000206,0000000582_00000206_1.jpg,0000000582_00000206_2.jpg,2026-06-16 16:41:13,製品Bの導入を検討,検討中だが時期未定,確認・比較はしている,非常に重要視している,重要視している,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000207,0000000582_00000207_1.jpg,0000000582_00000207_2.jpg,2026-06-16 16:47:35,製品Bの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,確認・比較はしている,あまり重要としていない,確認・比較はしている,重要視している,重要視している,お見積り、デモ・テスト導入,
00000208,0000000582_00000208_1.jpg,0000000582_00000208_2.jpg,2026-06-16 16:47:49,製品Aの導入を検討、製品Cの導入を検討,1年以内,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案,予算取りの参考にしたいので概算見積りをお願いします。
00000209,0000000582_00000209_1.jpg,0000000582_00000209_2.jpg,2026-06-16 16:56:38,製品Bの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,あまり重要としていない,確認・比較はしている,確認・比較はしている,重要視している,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案,
00000210,,,2026-06-16 16:56:55,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,1年以内,重要視している,非常に重要視している,確認・比較はしている,確認・比較はしている,あまり重要としていない,確認・比較はしている,営業担当からの説明・ご提案,
00000211,0000000582_00000211_1.jpg,0000000582_00000211_2.jpg,2026-06-16 16:59:23,製品Cの導入を検討、情報収集,1年以内,非常に重要視している,確認・比較はしている,あまり重要としていない,確認・比較はしている,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案,
00000212,,,2026-06-16 17:00:36,情報収集,導入予定なし,重要視している,確認・比較はしている,あまり重要としていない,あまり重要としていない,重要視している,重要視している,案内を希望しない,小規模拠点向けのプランがあるか知りたいです。
00000213,0000000582_00000213_1.jpg,0000000582_00000213_2.jpg,2026-06-16 17:02:16,製品Aの導入を検討、製品Bの導入を検討,3か月以内,重要視している,非常に重要視している,非常に重要視している,非常に重要視している,非常に重要視している,非常に重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000214,0000000582_00000214_1.jpg,0000000582_00000214_2.jpg,2026-06-16 17:02:52,製品Cの導入を検討、情報収集,3か月以内,非常に重要視している,非常に重要視している,あまり重要としていない,非常に重要視している,重要視している,あまり重要としていない,営業担当からの説明・ご提案,トライアル導入の条件を確認したいです。
00000215,0000000582_00000215_1.jpg,0000000582_00000215_2.jpg,2026-06-16 17:04:44,情報収集,導入予定なし,非常に重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,重要視している,非常に重要視している,案内を希望しない,
00000216,0000000582_00000216_1.jpg,0000000582_00000216_2.jpg,2026-06-16 17:06:45,製品Aの導入を検討、製品Bの導入を検討,1年以内,非常に重要視している,非常に重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,非常に重要視している,デモ・テスト導入,
00000217,0000000582_00000217_1.jpg,0000000582_00000217_2.jpg,2026-06-16 17:08:32,製品Cの導入を検討、情報収集,検討中だが時期未定,重要視している,確認・比較はしている,確認・比較はしている,重要視している,非常に重要視している,非常に重要視している,お見積り,予算取りの参考にしたいので概算見積りをお願いします。
00000218,0000000582_00000218_1.jpg,0000000582_00000218_2.jpg,2026-06-16 17:09:10,情報収集、その他,導入予定なし,あまり重要としていない,確認・比較はしている,重要視している,確認・比較はしている,確認・比較はしている,確認・比較はしている,お見積り、デモ・テスト導入,
00000219,0000000582_00000219_1.jpg,0000000582_00000219_2.jpg,2026-06-16 17:10:08,情報収集、その他,導入予定なし,重要視している,あまり重要としていない,あまり重要としていない,確認・比較はしている,重要視している,確認・比較はしている,案内を希望しない,製品Aのデモが印象的でした。価格表を送ってもらえると助かります。
00000220,0000000582_00000220_1.jpg,,2026-06-16 17:14:36,その他,導入予定なし,確認・比較はしている,非常に重要視している,重要視している,確認・比較はしている,重要視している,あまり重要としていない,案内を希望しない,
00000221,0000000582_00000221_1.jpg,0000000582_00000221_2.jpg,2026-06-16 17:15:09,製品Aの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,非常に重要視している,確認・比較はしている,非常に重要視している,重要視している,あまり重要としていない,営業担当からの説明・ご提案、お見積り,特になし
00000222,0000000582_00000222_1.jpg,0000000582_00000222_2.jpg,2026-06-16 17:16:59,製品Cの導入を検討,検討中だが時期未定,非常に重要視している,確認・比較はしている,確認・比較はしている,確認・比較はしている,あまり重要としていない,重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000223,0000000582_00000223_1.jpg,0000000582_00000223_2.jpg,2026-06-16 17:17:16,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,3か月以内,確認・比較はしている,非常に重要視している,重要視している,重要視している,重要視している,あまり重要としていない,営業担当からの説明・ご提案,
00000224,,,2026-06-16 17:17:36,情報収集,導入予定なし,重要視している,重要視している,重要視している,重要視している,非常に重要視している,確認・比較はしている,案内を希望しない,
00000225,0000000582_00000225_1.jpg,0000000582_00000225_2.jpg,2026-06-16 17:24:31,製品Cの導入を検討、情報収集,1年以内,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,あまり重要としていない,非常に重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000226,0000000582_00000226_1.jpg,0000000582_00000226_2.jpg,2026-06-16 17:27:10,製品Aの導入を検討、製品Bの導入を検討,3か月以内,確認・比較はしている,非常に重要視している,重要視している,重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000227,0000000582_00000227_1.jpg,0000000582_00000227_2.jpg,2026-06-17 09:32:10,製品Aの導入を検討、情報収集,検討中だが時期未定,重要視している,重要視している,あまり重要としていない,確認・比較はしている,重要視している,確認・比較はしている,その他,特になし
00000228,0000000582_00000228_1.jpg,0000000582_00000228_2.jpg,2026-06-17 09:38:02,製品Cの導入を検討、情報収集,3か月以内,確認・比較はしている,あまり重要としていない,確認・比較はしている,重要視している,重要視している,非常に重要視している,営業担当からの説明・ご提案,
00000229,0000000582_00000229_1.jpg,,2026-06-17 09:41:55,製品Aの導入を検討、情報収集,直ぐにでも,非常に重要視している,確認・比較はしている,重要視している,重要視している,あまり重要としていない,重要視している,営業担当からの説明・ご提案、その他,
00000230,0000000582_00000230_1.jpg,,2026-06-17 09:46:23,製品Bの導入を検討,1年以内,非常に重要視している,重要視している,重要視している,非常に重要視している,重要視している,非常に重要視している,その他,旧モデルからの移行パスがあるか気になっています。
00000231,0000000582_00000231_1.jpg,0000000582_00000231_2.jpg,2026-06-17 09:58:04,製品Aの導入を検討、情報収集,検討中だが時期未定,重要視している,確認・比較はしている,重要視している,重要視している,あまり重要としていない,非常に重要視している,営業担当からの説明・ご提案、お見積り,
00000232,0000000582_00000232_1.jpg,,2026-06-17 10:03:03,製品Aの導入を検討、その他,検討中だが時期未定,重要視している,非常に重要視している,非常に重要視している,重要視している,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案,
00000233,,,2026-06-17 10:13:57,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,非常に重要視している,確認・比較はしている,非常に重要視している,確認・比較はしている,重要視している,確認・比較はしている,お見積り,既存システムとの連携可否について、後日詳しくお聞きしたいです。
00000234,,,2026-06-17 10:18:28,製品Aの導入を検討、製品Bの導入を検討、その他,検討中だが時期未定,確認・比較はしている,重要視している,重要視している,確認・比較はしている,確認・比較はしている,確認・比較はしている,デモ・テスト導入,導入事例をもう少し詳しく知りたいです。特に同業種の事例があれば。
00000235,0000000582_00000235_1.jpg,,2026-06-17 10:29:20,情報収集,導入予定なし,重要視している,非常に重要視している,確認・比較はしている,重要視している,非常に重要視している,非常に重要視している,案内を希望しない,
00000236,0000000582_00000236_1.jpg,,2026-06-17 10:39:16,製品Aの導入を検討、製品Cの導入を検討、情報収集,1年以内,重要視している,確認・比較はしている,重要視している,非常に重要視している,あまり重要としていない,重要視している,お見積り,
00000237,0000000582_00000237_1.jpg,,2026-06-17 10:44:44,製品Cの導入を検討、情報収集,検討中だが時期未定,重要視している,確認・比較はしている,確認・比較はしている,重要視している,あまり重要としていない,重要視している,案内を希望しない,
00000238,,,2026-06-17 10:47:58,情報収集,導入予定なし,重要視している,確認・比較はしている,重要視している,重要視している,重要視している,確認・比較はしている,案内を希望しない,
00000239,0000000582_00000239_1.jpg,0000000582_00000239_2.jpg,2026-06-17 10:51:46,製品Bの導入を検討、製品Cの導入を検討、情報収集,3か月以内,非常に重要視している,非常に重要視している,あまり重要としていない,非常に重要視している,非常に重要視している,重要視している,デモ・テスト導入,
00000240,0000000582_00000240_1.jpg,0000000582_00000240_2.jpg,2026-06-17 10:52:21,製品Aの導入を検討,1年以内,確認・比較はしている,確認・比較はしている,非常に重要視している,あまり重要としていない,非常に重要視している,確認・比較はしている,デモ・テスト導入,
00000241,,,2026-06-17 10:53:11,製品Bの導入を検討,1年以内,重要視している,非常に重要視している,非常に重要視している,非常に重要視している,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案,
00000242,0000000582_00000242_1.jpg,0000000582_00000242_2.jpg,2026-06-17 10:55:59,製品Cの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,重要視している,重要視している,非常に重要視している,重要視している,確認・比較はしている,案内を希望しない,
00000243,0000000582_00000243_1.jpg,0000000582_00000243_2.jpg,2026-06-17 10:57:45,製品Cの導入を検討、情報収集,1年以内,重要視している,確認・比較はしている,重要視している,重要視している,あまり重要としていない,あまり重要としていない,お見積り,海外拠点への展開実績はありますか。
00000244,0000000582_00000244_1.jpg,0000000582_00000244_2.jpg,2026-06-17 10:59:19,情報収集,導入予定なし,重要視している,確認・比較はしている,あまり重要としていない,非常に重要視している,重要視している,重要視している,営業担当からの説明・ご提案、デモ・テスト導入,セミナーの開催予定があれば案内をお願いします。
00000245,0000000582_00000245_1.jpg,0000000582_00000245_2.jpg,2026-06-17 11:01:50,製品Bの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,非常に重要視している,非常に重要視している,非常に重要視している,確認・比較はしている,あまり重要としていない,営業担当からの説明・ご提案,
00000246,0000000582_00000246_1.jpg,,2026-06-17 11:04:28,情報収集、その他,導入予定なし,確認・比較はしている,非常に重要視している,あまり重要としていない,あまり重要としていない,重要視している,重要視している,案内を希望しない,保守対応の範囲と費用感を教えてください。
00000247,0000000582_00000247_1.jpg,,2026-06-17 11:11:34,製品Bの導入を検討、情報収集,3か月以内,確認・比較はしている,非常に重要視している,あまり重要としていない,非常に重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案,
00000248,0000000582_00000248_1.jpg,0000000582_00000248_2.jpg,2026-06-17 11:16:43,製品Aの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,重要視している,確認・比較はしている,非常に重要視している,重要視している,重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000249,0000000582_00000249_1.jpg,,2026-06-17 11:17:27,製品Bの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,重要視している,確認・比較はしている,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,お見積り,
00000250,0000000582_00000250_1.jpg,0000000582_00000250_2.jpg,2026-06-17 11:34:13,製品Cの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,重要視している,非常に重要視している,確認・比較はしている,あまり重要としていない,重要視している,デモ・テスト導入,
00000251,0000000582_00000251_1.jpg,0000000582_00000251_2.jpg,2026-06-17 11:36:49,製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,非常に重要視している,重要視している,確認・比較はしている,重要視している,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案,説明員の対応が丁寧で好印象でした。
00000252,,,2026-06-17 11:38:30,製品Aの導入を検討,3か月以内,非常に重要視している,確認・比較はしている,確認・比較はしている,重要視している,非常に重要視している,確認・比較はしている,営業担当からの説明・ご提案,
00000253,0000000582_00000253_1.jpg,0000000582_00000253_2.jpg,2026-06-17 11:58:30,製品Aの導入を検討、情報収集,3か月以内,非常に重要視している,非常に重要視している,あまり重要としていない,重要視している,重要視している,あまり重要としていない,お見積り,
00000254,0000000582_00000254_1.jpg,,2026-06-17 12:10:25,製品Cの導入を検討、情報収集,検討中だが時期未定,重要視している,重要視している,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案,
00000255,0000000582_00000255_1.jpg,0000000582_00000255_2.jpg,2026-06-17 12:25:04,製品Bの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,非常に重要視している,あまり重要としていない,重要視している,重要視している,重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,
00000256,0000000582_00000256_1.jpg,,2026-06-17 12:28:15,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討、情報収集,1年以内,非常に重要視している,非常に重要視している,重要視している,非常に重要視している,重要視している,確認・比較はしている,お見積り,他社製品と比較検討中です。優位性が分かる資料が欲しいです。
00000257,0000000582_00000257_1.jpg,,2026-06-17 12:34:40,製品Cの導入を検討,3か月以内,非常に重要視している,重要視している,あまり重要としていない,確認・比較はしている,重要視している,確認・比較はしている,デモ・テスト導入,
00000258,0000000582_00000258_1.jpg,0000000582_00000258_2.jpg,2026-06-17 12:35:12,製品Aの導入を検討,1年以内,重要視している,重要視している,あまり重要としていない,重要視している,確認・比較はしている,確認・比較はしている,その他,サポート窓口の受付時間を教えてください。
00000259,0000000582_00000259_1.jpg,0000000582_00000259_2.jpg,2026-06-17 12:37:51,製品Aの導入を検討、情報収集,3か月以内,非常に重要視している,確認・比較はしている,確認・比較はしている,非常に重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案、お見積り,会場が混んでいてゆっくり聞けなかったので、改めて訪問説明を希望します。
00000260,0000000582_00000260_1.jpg,0000000582_00000260_2.jpg,2026-06-17 12:42:33,製品Aの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,あまり重要としていない,あまり重要としていない,非常に重要視している,重要視している,重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,予算取りの参考にしたいので概算見積りをお願いします。
00000261,0000000582_00000261_1.jpg,0000000582_00000261_2.jpg,2026-06-17 12:57:35,情報収集、その他,導入予定なし,非常に重要視している,あまり重要としていない,非常に重要視している,重要視している,重要視している,重要視している,案内を希望しない,
00000262,0000000582_00000262_1.jpg,0000000582_00000262_2.jpg,2026-06-17 13:00:18,製品Aの導入を検討、情報収集,直ぐにでも,重要視している,非常に重要視している,確認・比較はしている,非常に重要視している,確認・比較はしている,非常に重要視している,お見積り,予算取りの参考にしたいので概算見積りをお願いします。
00000263,0000000582_00000263_1.jpg,0000000582_00000263_2.jpg,2026-06-17 13:04:20,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,3か月以内,非常に重要視している,重要視している,重要視している,重要視している,重要視している,確認・比較はしている,案内を希望しない,
00000264,0000000582_00000264_1.jpg,0000000582_00000264_2.jpg,2026-06-17 13:17:50,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,非常に重要視している,確認・比較はしている,重要視している,重要視している,あまり重要としていない,あまり重要としていない,案内を希望しない,カタログだけでは分からない運用面の話が聞けて良かったです。
00000265,0000000582_00000265_1.jpg,0000000582_00000265_2.jpg,2026-06-17 13:25:40,製品Cの導入を検討、情報収集,1年以内,重要視している,重要視している,あまり重要としていない,非常に重要視している,あまり重要としていない,重要視している,営業担当からの説明・ご提案,旧モデルからの移行パスがあるか気になっています。
00000266,0000000582_00000266_1.jpg,,2026-06-17 13:28:01,製品Cの導入を検討,検討中だが時期未定,確認・比較はしている,重要視している,非常に重要視している,確認・比較はしている,非常に重要視している,あまり重要としていない,営業担当からの説明・ご提案,製品Aのデモが印象的でした。価格表を送ってもらえると助かります。
00000267,0000000582_00000267_1.jpg,,2026-06-17 13:35:35,情報収集,導入予定なし,重要視している,非常に重要視している,確認・比較はしている,重要視している,確認・比較はしている,確認・比較はしている,お見積り、デモ・テスト導入、その他,
00000268,0000000582_00000268_1.jpg,,2026-06-17 14:00:02,製品Cの導入を検討、情報収集,1年以内,あまり重要としていない,重要視している,あまり重要としていない,重要視している,重要視している,確認・比較はしている,案内を希望しない,
00000269,0000000582_00000269_1.jpg,0000000582_00000269_2.jpg,2026-06-17 14:05:34,製品Aの導入を検討,検討中だが時期未定,重要視している,確認・比較はしている,あまり重要としていない,重要視している,あまり重要としていない,確認・比較はしている,デモ・テスト導入,カタログだけでは分からない運用面の話が聞けて良かったです。
00000270,0000000582_00000270_1.jpg,0000000582_00000270_2.jpg,2026-06-17 14:19:05,製品Aの導入を検討,検討中だが時期未定,重要視している,非常に重要視している,重要視している,重要視している,非常に重要視している,重要視している,デモ・テスト導入,ブースの説明が分かりやすかったです。資料を社内で共有します。
00000271,0000000582_00000271_1.jpg,,2026-06-17 14:20:52,製品Aの導入を検討,1年以内,重要視している,あまり重要としていない,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,納期の目安を教えていただけると社内稟議を進めやすいです。
00000272,0000000582_00000272_1.jpg,0000000582_00000272_2.jpg,2026-06-17 14:29:18,製品Aの導入を検討、製品Bの導入を検討,1年以内,非常に重要視している,確認・比較はしている,あまり重要としていない,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000273,0000000582_00000273_1.jpg,,2026-06-17 14:31:14,その他,導入予定なし,非常に重要視している,重要視している,あまり重要としていない,重要視している,確認・比較はしている,重要視している,お見積り,
00000274,0000000582_00000274_1.jpg,0000000582_00000274_2.jpg,2026-06-17 14:36:10,製品Aの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,非常に重要視している,重要視している,非常に重要視している,あまり重要としていない,重要視している,営業担当からの説明・ご提案、お見積り,
00000275,0000000582_00000275_1.jpg,0000000582_00000275_2.jpg,2026-06-17 14:39:25,情報収集,導入予定なし,非常に重要視している,非常に重要視している,重要視している,重要視している,あまり重要としていない,確認・比較はしている,案内を希望しない,他社製品と比較検討中です。優位性が分かる資料が欲しいです。
00000276,0000000582_00000276_1.jpg,,2026-06-17 14:53:17,製品Aの導入を検討、製品Cの導入を検討,検討中だが時期未定,非常に重要視している,確認・比較はしている,非常に重要視している,重要視している,非常に重要視している,非常に重要視している,営業担当からの説明・ご提案,
00000277,0000000582_00000277_1.jpg,0000000582_00000277_2.jpg,2026-06-17 15:04:27,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討、情報収集,1年以内,非常に重要視している,非常に重要視している,重要視している,重要視している,重要視している,あまり重要としていない,営業担当からの説明・ご提案、その他,
00000278,0000000582_00000278_1.jpg,0000000582_00000278_2.jpg,2026-06-17 15:10:16,情報収集、その他,導入予定なし,非常に重要視している,重要視している,重要視している,非常に重要視している,あまり重要としていない,重要視している,案内を希望しない,特になし
00000279,0000000582_00000279_1.jpg,,2026-06-17 15:13:34,製品Bの導入を検討,1年以内,非常に重要視している,確認・比較はしている,確認・比較はしている,重要視している,重要視している,重要視している,営業担当からの説明・ご提案,
00000280,0000000582_00000280_1.jpg,0000000582_00000280_2.jpg,2026-06-17 15:15:41,製品Bの導入を検討、情報収集,1年以内,非常に重要視している,確認・比較はしている,重要視している,重要視している,非常に重要視している,確認・比較はしている,お見積り,
00000281,0000000582_00000281_1.jpg,0000000582_00000281_2.jpg,2026-06-17 15:27:44,製品Cの導入を検討,3か月以内,重要視している,非常に重要視している,確認・比較はしている,重要視している,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案、お見積り,
00000282,0000000582_00000282_1.jpg,0000000582_00000282_2.jpg,2026-06-17 15:31:44,製品Bの導入を検討、製品Cの導入を検討,1年以内,非常に重要視している,重要視している,重要視している,あまり重要としていない,重要視している,重要視している,営業担当からの説明・ご提案,
00000283,0000000582_00000283_1.jpg,,2026-06-17 15:39:34,製品Aの導入を検討,検討中だが時期未定,非常に重要視している,非常に重要視している,重要視している,確認・比較はしている,確認・比較はしている,重要視している,お見積り,
00000284,0000000582_00000284_1.jpg,,2026-06-17 15:52:49,その他,導入予定なし,あまり重要としていない,確認・比較はしている,確認・比較はしている,非常に重要視している,非常に重要視している,非常に重要視している,デモ・テスト導入、その他,
00000285,0000000582_00000285_1.jpg,0000000582_00000285_2.jpg,2026-06-17 16:02:08,製品Aの導入を検討、製品Cの導入を検討,3か月以内,確認・比較はしている,確認・比較はしている,確認・比較はしている,重要視している,あまり重要としていない,確認・比較はしている,お見積り,
00000286,0000000582_00000286_1.jpg,,2026-06-17 16:02:21,製品Aの導入を検討、製品Cの導入を検討,3か月以内,非常に重要視している,重要視している,確認・比較はしている,重要視している,重要視している,重要視している,その他,説明員の対応が丁寧で好印象でした。
00000287,0000000582_00000287_1.jpg,0000000582_00000287_2.jpg,2026-06-17 16:08:34,製品Aの導入を検討,検討中だが時期未定,非常に重要視している,重要視している,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000288,0000000582_00000288_1.jpg,0000000582_00000288_2.jpg,2026-06-17 16:08:48,製品Aの導入を検討、情報収集,1年以内,非常に重要視している,重要視している,非常に重要視している,重要視している,重要視している,あまり重要としていない,営業担当からの説明・ご提案、お見積り,
00000289,0000000582_00000289_1.jpg,,2026-06-17 16:11:44,製品Cの導入を検討、情報収集,1年以内,重要視している,非常に重要視している,確認・比較はしている,重要視している,非常に重要視している,非常に重要視している,お見積り、デモ・テスト導入,
00000290,0000000582_00000290_1.jpg,,2026-06-17 16:25:01,製品Aの導入を検討、情報収集,直ぐにでも,重要視している,確認・比較はしている,あまり重要としていない,重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案,既存システムとの連携可否について、後日詳しくお聞きしたいです。
00000291,0000000582_00000291_1.jpg,0000000582_00000291_2.jpg,2026-06-17 16:31:19,製品Bの導入を検討、製品Cの導入を検討、情報収集,検討中だが時期未定,非常に重要視している,重要視している,重要視している,非常に重要視している,あまり重要としていない,確認・比較はしている,営業担当からの説明・ご提案、お見積り,既存システムとの連携可否について、後日詳しくお聞きしたいです。
00000292,0000000582_00000292_1.jpg,0000000582_00000292_2.jpg,2026-06-17 16:47:20,製品Bの導入を検討,検討中だが時期未定,非常に重要視している,重要視している,重要視している,非常に重要視している,重要視している,確認・比較はしている,お見積り、デモ・テスト導入,既存システムとの連携可否について、後日詳しくお聞きしたいです。
00000293,0000000582_00000293_1.jpg,0000000582_00000293_2.jpg,2026-06-17 16:50:29,製品Cの導入を検討,直ぐにでも,確認・比較はしている,あまり重要としていない,重要視している,あまり重要としていない,重要視している,重要視している,お見積り,ブースの説明が分かりやすかったです。資料を社内で共有します。
00000294,0000000582_00000294_1.jpg,,2026-06-17 16:50:36,製品Bの導入を検討,直ぐにでも,重要視している,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,確認・比較はしている,営業担当からの説明・ご提案,
00000295,0000000582_00000295_1.jpg,0000000582_00000295_2.jpg,2026-06-17 16:56:45,製品Aの導入を検討、製品Bの導入を検討,1年以内,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,重要視している,重要視している,お見積り,展示されていた新型は当社の用途に合いそうです。仕様書を希望します。
00000296,0000000582_00000296_1.jpg,0000000582_00000296_2.jpg,2026-06-17 16:59:37,情報収集,導入予定なし,非常に重要視している,重要視している,あまり重要としていない,重要視している,重要視している,確認・比較はしている,案内を希望しない,
00000297,0000000582_00000297_1.jpg,0000000582_00000297_2.jpg,2026-06-17 17:24:23,情報収集,導入予定なし,非常に重要視している,確認・比較はしている,確認・比較はしている,確認・比較はしている,確認・比較はしている,非常に重要視している,案内を希望しない,予算取りの参考にしたいので概算見積りをお願いします。
00000298,0000000582_00000298_1.jpg,0000000582_00000298_2.jpg,2026-06-17 17:24:38,製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,重要視している,重要視している,非常に重要視している,非常に重要視している,重要視している,重要視している,営業担当からの説明・ご提案、デモ・テスト導入,
00000299,0000000582_00000299_1.jpg,0000000582_00000299_2.jpg,2026-06-17 17:25:21,製品Cの導入を検討,検討中だが時期未定,重要視している,確認・比較はしている,重要視している,重要視している,確認・比較はしている,重要視している,営業担当からの説明・ご提案,
00000300,0000000582_00000300_1.jpg,0000000582_00000300_2.jpg,2026-06-17 17:26:30,製品Aの導入を検討、情報収集,1年以内,重要視している,重要視している,確認・比較はしている,確認・比較はしている,あまり重要としていない,あまり重要としていない,営業担当からの説明・ご提案,トライアル導入の条件を確認したいです。
